rank,score,tier,l1,l2,l3,l4,l5,name,retailer,country,price,cur,azn,reviews,bestseller_ranks,countries,url,img,ev
240,60.8,Ranked in 2 chains,HOME TEXTILES,Bedding basics,Sheets,Fitted sheets,Cotton fitted sheet,"Простыня на резинке, 140x200x20 см, в ассортименте",Fix Price,Russia,599,RUB,12.02,138,#25 Fix Price Russia (Для дома > Текстиль (Textiles)); #37 Fix Price Kazakhstan (Для дома > Текстиль (Textiles)),"Kazakhstan, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5075024-prostynya-na-rezinke-14020020-sm-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/34/3423428f3ac5fe9e54cd9b8772fbe6b8.jpg,"Fix Price Russia: #25 in 'Для дома > Текстиль (Textiles)' (sorted by units sold); Fix Price Kazakhstan: #37 in 'Для дома > Текстиль (Textiles)' (popular first) | Fix Price RU 599 RUB, 100% cotton 140x200x20 cm, listed in 'Текстиль'; n11: 'Madame Coco Manon ... Lastikli Çarşaf' 138 reviews, 479.99 TL"
241,60.7,Ranked in 3+ chains,FOOD STORAGE & DRINKWARE-TO-GO,Lunch & on-the-go,Soup containers,Soup mugs,Microwave soup mug / bowl with lid,Pojemnik MAKAMAKA Large soup mug 900 ml (mix) 21141,Carrefour,Poland,38.99,PLN,17.23,0,#46 Fix Price Russia (Для дома > Для кухни (Kitchen)); #54 Carrefour Poland (Wyposażenie domu > Kuchnia i jadalnia > Przechowywanie żywności); #70 Fix Price Kazakhstan (Для дома > Для кухни (Kitchen)),"Kazakhstan, Poland, Russia",https://www.carrefour.pl/zakupy-niecodzienne/dom-i-ogrod/wyposazenie-domu/kuchnia-i-jadalnia/przechowywanie-zywnosci/pojemnik-makamaka-large-soup-mug-900-ml-mix-21141,https://www.carrefour.pl/images/product/org/pojemnik-makamaka-large-soup-mug-900-ml-mix-21141-ao7u4m.jpg,Fix Price Russia: #46 in 'Для дома > Для кухни (Kitchen)' (sorted by units sold); Carrefour Poland: #54 in 'Wyposażenie domu > Kuchnia i jadalnia > Przechowywanie żywności' (most popular); Fix Price Kazakhstan: #70 in 'Для дома > Для кухни (Kitchen)' (popular first)
242,60.6,Ranked in 2 chains,FOOD STORAGE & DRINKWARE-TO-GO,Pantry storage,Dry-goods containers,Bulk containers,Large bulk food container 4-6 L (flour/rice),"Vienev 4'lü 5,5 Litre Strip Mega Boy Erzak Saklama Kabı Antrasit Çok Renkli",n11,Turkey,369.9,TRY,12.87,124,#3 n11 Turkey (n11 search: kavanoz); #42 Fix Price Russia (Для дома > Для ванной (bathroom)),"Poland, Russia, Turkey",https://www.n11.com/urun/vienev-4lu-55-litre-strip-mega-boy-erzak-saklama-kabi-antrasit-cok-renkli-47956084,https://n11scdn.akamaized.net/a1/400_570/08/39/72/35/IMG-8229046318933342476.jpg,"n11 Turkey: #3 in 'n11 search: kavanoz' (best-selling); Fix Price Russia: #42 in 'Для дома > Для ванной (bathroom)' (sorted by units sold) | n11: 124 reviews, 4.5/5 (price 369.90 TL for 4 pcs from listing); Fix Price RU 'Контейнер с ручкой для продуктов, HITT, 4,5 л'; Action PL 'Pojemnik na żywność' 2.7 l 9.95 zl and Curver 2.3 l 19.95 zl"
243,60.5,Ranked in 2 chains,HOME ESSENTIALS & DIY,Electrical & Power,Lighting,Torches,LED headlamp,Latarka czołowa do wielokrotnego ładowania Werckmann,Action,Poland,18.99,PLN,8.39,0,#59 Fix Price Russia (Для дома > Хозяйственные мелочи (household sundries)); #61 Fix Price Kazakhstan (Для дома > Хозяйственные мелочи (Household sundries)),"Kazakhstan, Poland, Russia, Turkey",https://www.action.com/pl-pl/p/3221528/latarka-czolowa-do-wielokrotnego-ladowania-werckmann/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3221528_8718964269730-110_01_kv3udn.webp,"Fix Price Russia: #59 in 'Для дома > Хозяйственные мелочи (household sundries)' (sorted by units sold); Fix Price Kazakhstan: #61 in 'Для дома > Хозяйственные мелочи (Household sundries)' (popular first) | Action PL 18.99 zl (also Grundig headlamp 180 lm); Fix Price 6+ headlamp SKUs (FLARX 199 RUB, rechargeable 249-299 RUB); n11: rechargeable headlamps listed"
244,60.4,Ranked in 1 chain,KITCHEN TOOLS,Openers,Can openers,Manual,Manual can opener,Otwieracz do konserw Excellent Houseware,Action,Poland,8.95,PLN,3.96,28,#51 Carrefour Poland (Wyposażenie domu > Kuchnia i jadalnia > Akcesoria kuchenne),"Kazakhstan, Poland, Turkey",https://www.action.com/pl-pl/p/2507900/otwieracz-do-konserw-excellent-houseware/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/2507900_8720573266635-110_01_krdmoo.webp,"Carrefour Poland: #51 in 'Wyposażenie domu > Kuchnia i jadalnia > Akcesoria kuchenne' (most popular) | Action PL 8.95 zl; n11: Victorinox can opener 17 reviews (black) + 14 (red), multi-size opener 28 reviews; Kaspi: 'Консервный нож сталь, черный' listing"
245,60.2,Ranked in 2 chains,HOME ESSENTIALS & DIY,Tools,Painting,Putty knives,Putty knife / filling spatula,"Шпательная лопатка, 100 мм",Fix Price,Kazakhstan,199.0,KZT,0.76,0,#32 Fix Price Kazakhstan (Для дома > Для ремонта (Repair / tools)); #41 Fix Price Russia (Для дома > Для ремонта (repair / tools / hardware)),"Kazakhstan, Russia",https://fix-price.kz/ru/catalog/dlya-doma/p-5006270-shpatelnaya-lopatka-100-mm,https://img.fix-price.kz/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/41/41d0d9136ceb66fc080d05d0178483b1.jpg,Fix Price Kazakhstan: #32 in 'Для дома > Для ремонта (Repair / tools)' (popular first); Fix Price Russia: #41 in 'Для дома > Для ремонта (repair / tools / hardware)' (sorted by units sold)
246,60.2,Ranked in 2 chains,HOME ESSENTIALS & DIY,Tools,Hand Tools,Pliers & cutters,Wire stripper / crimping tool,"Нож для зачистки проводов, Master Hand, 2 шт.",Fix Price,Kazakhstan,274.0,KZT,1.05,0,#26 Fix Price Kazakhstan (Для дома > Для ремонта (Repair / tools)); #46 Fix Price Russia (Для дома > Для ремонта (repair / tools / hardware)),"Kazakhstan, Russia",https://fix-price.kz/ru/catalog/dlya-doma/p-5001201-noj-dlya-zachistki-provodov-aster-and-2-sht,https://img.fix-price.kz/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/42/4212ec4a8c96c2f58bb89f57251b8ad8.jpg,Fix Price Kazakhstan: #26 in 'Для дома > Для ремонта (Repair / tools)' (popular first); Fix Price Russia: #46 in 'Для дома > Для ремонта (repair / tools / hardware)' (sorted by units sold)
247,60.2,Ranked in 2 chains,HOME ESSENTIALS & DIY,Electrical & Power,Lighting,Torches,Portable LED lantern (battery / USB),"Фонарь кемпинговый, FLARX, 3 варианта освещения, в ассортименте",Fix Price,Kazakhstan,299.0,KZT,1.14,0,"#22 Fix Price Kazakhstan (Для дома > Электротовары (Electrical)); #89 Fix Price Russia (Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile))","Kazakhstan, Russia",https://fix-price.kz/ru/catalog/dlya-doma/elektrotovary/p-5012630-fonar-kempingovyy--3-varianta-osvescheniya-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/e92a0b88a55792768e4f63a2e78ca8c0_34.jpg,"Fix Price Kazakhstan: #22 in 'Для дома > Электротовары (Electrical)' (popular first); Fix Price Russia: #89 in 'Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile)' (sorted by units sold)"
248,60.2,Ranked in 2 chains,"LAUNDRY, BATH & WARDROBE",Wardrobe,Shoe care,Shoe accessories,Self-adhesive heel grips / shoe pads,"Накладки для обуви самоклеящиеся, Happy Foot, 1 пара, в ассортименте",Fix Price,Russia,69.0,RUB,1.39,0,#27 Fix Price Russia (Для дома > Аксессуары для обуви (shoe care accessories)); #35 Fix Price Kazakhstan (Для дома > Аксессуары для обуви (Shoe care)),"Kazakhstan, Russia",https://fix-price.com/catalog/dlya-doma/p-5054185-nakladki-dlya-obuvi-samokleyaschiesya-appy-oot-1-para-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/a3/a308d81985a517321f3dbde851f53558.jpg,Fix Price Russia: #27 in 'Для дома > Аксессуары для обуви (shoe care accessories)' (sorted by units sold); Fix Price Kazakhstan: #35 in 'Для дома > Аксессуары для обуви (Shoe care)' (popular first)
249,60.2,Ranked in 2 chains,HOME ESSENTIALS & DIY,Tools,Protective Wear,Eye protection,Safety goggles,"Очки защитные, в ассортименте",Fix Price,Russia,79.0,RUB,1.59,0,#29 Fix Price Russia (Для дома > Хозяйственные мелочи (household sundries)); #40 Fix Price Kazakhstan (Для дома > Хозяйственные мелочи (Household sundries)),"Kazakhstan, Russia",https://fix-price.com/catalog/dlya-doma/p-5005005-ochki-zaschitnye-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/700d78f3cca9423eaf0c395da231db60_27.jpg,Fix Price Russia: #29 in 'Для дома > Хозяйственные мелочи (household sundries)' (sorted by units sold); Fix Price Kazakhstan: #40 in 'Для дома > Хозяйственные мелочи (Household sundries)' (popular first)
250,60.2,Ranked in 2 chains,"LAUNDRY, BATH & WARDROBE",Laundry,Garment care,Clothes brushes,Clothes / shoe brush,"Щётка для одежды и обуви, Yozhik, 100х36 мм",Fix Price,Russia,79.0,RUB,1.59,0,#36 Fix Price Russia (Для дома > Хозяйственные мелочи (household sundries)); #47 Fix Price Kazakhstan (Для дома > Хозяйственные мелочи (Household sundries)),"Kazakhstan, Russia",https://fix-price.com/catalog/dlya-doma/p-5051050-schtka-dlya-odejdy-i-obuvi-ozhik-100h36-mm,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/06276c4921da73d883e1e101dccb16bf_32.jpg,Fix Price Russia: #36 in 'Для дома > Хозяйственные мелочи (household sundries)' (sorted by units sold); Fix Price Kazakhstan: #47 in 'Для дома > Хозяйственные мелочи (Household sundries)' (popular first)
251,60.2,Ranked in 2 chains,HOME ESSENTIALS & DIY,Tools,Hand Tools,Measuring,Carpenter's square (angle ruler),"Угольная линейка, Master Hand, 300х200 мм",Fix Price,Russia,79.0,RUB,1.59,0,#37 Fix Price Russia (Для дома > Для ремонта (repair / tools / hardware)); #51 Fix Price Kazakhstan (Для дома > Для ремонта (Repair / tools)),"Kazakhstan, Russia",https://fix-price.com/catalog/dlya-doma/dlya-remonta/p-5003008-ugolnaya-lineyka-aster-and-300h200-mm,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/b1/b1d461de07bb16f7739fea8f048380be.jpg,Fix Price Russia: #37 in 'Для дома > Для ремонта (repair / tools / hardware)' (sorted by units sold); Fix Price Kazakhstan: #51 in 'Для дома > Для ремонта (Repair / tools)' (popular first)
252,60.2,Ranked in 2 chains,HOME ESSENTIALS & DIY,Fixing & Hanging,Furniture & Door Accessories,Furniture repair,Self-adhesive faux-leather repair patch,"Искусственная самоклеящаяся кожа, Home Time, 40х100 см, в ассортименте",Fix Price,Kazakhstan,449.0,KZT,1.71,0,#37 Fix Price Kazakhstan (Для дома > Хозяйственные мелочи (Household sundries)); #40 Fix Price Russia (Для дома > Хозяйственные мелочи (household sundries)),"Kazakhstan, Russia",https://fix-price.kz/ru/catalog/dlya-doma/p-5069995-iskusstvennaya-samokleyaschayasya-koja-ome-ime-40h100-sm-v-assortimente,https://img.fix-price.kz/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/d3/d34cc97527a19f84b7f86ae31b02dd4f.jpg,Fix Price Kazakhstan: #37 in 'Для дома > Хозяйственные мелочи (Household sundries)' (popular first); Fix Price Russia: #40 in 'Для дома > Хозяйственные мелочи (household sundries)' (sorted by units sold)
253,60.2,Ranked in 2 chains,HOME TEXTILES,Kitchen textiles,Kitchen towels,"Tea towels, single",Jacquard cotton kitchen towel,"Полотенце кухонное жаккардовое, 35x60 см",Fix Price,Russia,99,RUB,1.99,0,#8 Fix Price Russia (Для дома > Текстиль (Textiles)); #15 Fix Price Kazakhstan (Для дома > Текстиль (Textiles)),"Kazakhstan, Russia",https://fix-price.com/catalog/dlya-doma/p-5070757-polotentse-kuhonnoe-jakkardovoe-3560-sm,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/ee/eec96b40bfc7fb70bb54c32275a1590f.jpg,"Fix Price Russia: #8 in 'Для дома > Текстиль (Textiles)' (sorted by units sold); Fix Price Kazakhstan: #15 in 'Для дома > Текстиль (Textiles)' (popular first) | Fix Price RU 99 RUB, 100% cotton 35x60 cm, listed on page 1 of 'Текстиль'; Fix Price KZ lists same SKU in 'Текстиль'"
254,60.2,Ranked in 2 chains,HOME ESSENTIALS & DIY,Fixing & Hanging,Decorative Films,Self-adhesive film,"Self-adhesive anti-grease protective film, roll","Плёнка универсальная защитная, Home Time, 60х500 см",Fix Price,Russia,99.0,RUB,1.99,0,#32 Fix Price Russia (Для дома > Хозяйственные мелочи (household sundries)); #51 Fix Price Kazakhstan (Для дома > Хозяйственные мелочи (Household sundries)),"Kazakhstan, Russia",https://fix-price.com/catalog/dlya-doma/p-5079347-plnka-universalnaya-zaschitnaya-ome-ime-60h500-sm,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/cc/cc3aa733e317f101d7cc185f3d161028.jpg,Fix Price Russia: #32 in 'Для дома > Хозяйственные мелочи (household sundries)' (sorted by units sold); Fix Price Kazakhstan: #51 in 'Для дома > Хозяйственные мелочи (Household sundries)' (popular first)
255,60.2,Ranked in 2 chains,HOME ESSENTIALS & DIY,Tools,Hand Tools,Precision tools,Precision tweezers set,"Набор пинцетов, Master Hand, 4 шт.",Fix Price,Russia,99.0,RUB,1.99,0,#33 Fix Price Russia (Для дома > Для ремонта (repair / tools / hardware)); #46 Fix Price Kazakhstan (Для дома > Для ремонта (Repair / tools)),"Kazakhstan, Russia",https://fix-price.com/catalog/dlya-doma/dlya-remonta/p-5001092-nabor-pintsetov-aster-and-4-sht,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/34/34e3d83b80642f8ee27d611ad8a60a3d.jpg,Fix Price Russia: #33 in 'Для дома > Для ремонта (repair / tools / hardware)' (sorted by units sold); Fix Price Kazakhstan: #46 in 'Для дома > Для ремонта (Repair / tools)' (popular first)
256,60.2,Ranked in 2 chains,HOME ESSENTIALS & DIY,Home Devices,Security,Locks,Mailbox / cabinet cam lock with keys,"Замок для почтового ящика, Master Hand, с 3 ключами, 38 мм, в ассортименте",Fix Price,Russia,99.0,RUB,1.99,0,#24 Fix Price Russia (Для дома > Для ремонта (repair / tools / hardware)); #61 Fix Price Kazakhstan (Для дома > Для ремонта (Repair / tools)),"Kazakhstan, Russia",https://fix-price.com/catalog/dlya-doma/p-5004010-zamok-dlya-pochtovogo-yaschika-aster-and-s-3-klyuchami-38-mm-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/8abbbad36d6a82fbb5335e5ff1dc7bc1_42.jpg,Fix Price Russia: #24 in 'Для дома > Для ремонта (repair / tools / hardware)' (sorted by units sold); Fix Price Kazakhstan: #61 in 'Для дома > Для ремонта (Repair / tools)' (popular first)
257,60.2,Ranked in 2 chains,HOME ESSENTIALS & DIY,Tools,Measuring & Testing,Voltage testers,Voltage tester screwdriver,"Цифровой тестер электрического тока, Master Hand, в ассортименте",Fix Price,Kazakhstan,533.0,KZT,2.03,0,#47 Fix Price Kazakhstan (Для дома > Для ремонта (Repair / tools)); #52 Fix Price Russia (Для дома > Для ремонта (repair / tools / hardware)),"Kazakhstan, Russia",https://fix-price.kz/ru/catalog/dlya-doma/p-5000014-tsifrovoy-tester-elektricheskogo-toka-aster-and-v-assortimente,https://img.fix-price.kz/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/01/016e1ac043748239f35d2e0fef172d74.jpg,Fix Price Kazakhstan: #47 in 'Для дома > Для ремонта (Repair / tools)' (popular first); Fix Price Russia: #52 in 'Для дома > Для ремонта (repair / tools / hardware)' (sorted by units sold)
258,60.2,Ranked in 2 chains,HOME ESSENTIALS & DIY,Tools,Hand Tools,Wire brushes,Hand wire brush,"Щётка металлическая с пластмассовой ручкой, Master Hand",Fix Price,Russia,116.0,RUB,2.33,0,#31 Fix Price Russia (Для дома > Хозяйственные мелочи (household sundries)); #48 Fix Price Kazakhstan (Для дома > Хозяйственные мелочи (Household sundries)),"Kazakhstan, Russia",https://fix-price.com/catalog/dlya-doma/p-5001379-schtka-metallicheskaya-s-plastmassovoy-ruchkoy-aster-and,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/c7/c7130e6d4316e13ea2810ac8af9225fd.jpg,Fix Price Russia: #31 in 'Для дома > Хозяйственные мелочи (household sundries)' (sorted by units sold); Fix Price Kazakhstan: #48 in 'Для дома > Хозяйственные мелочи (Household sundries)' (popular first)
